,city,rest,menu_cat,menu_item,item_price
0,0,0,0,0,0
1,liberec,/restaurant/c3za/pizzerie-u-certu,Denní menu,"0,3l   Bramborová polévka"," 39,00 Kč"
2,liberec,/restaurant/c3za/pizzerie-u-certu,Denní menu,"0,3l Vývar z krůtích krků se zeleninou a nudlemi"," 39,00 Kč"
3,liberec,/restaurant/c3za/pizzerie-u-certu,Denní menu,"1ks V dračí  peci pečené vepřové koleno s čerstvým křenem, cibulí,"," 240,00 Kč"
4,liberec,/restaurant/c3za/pizzerie-u-certu,Denní menu,"500g Pečená barbecue žebra s čerstvým křenem, cibulí, hořčicí, okurkou"," 200,00 Kč"
5,liberec,/restaurant/c3za/pizzerie-u-certu,Denní menu,½  Nadívaná půlka kuřete s restovanými brambory s cibulkou a slaninou," 160,00 Kč"
6,liberec,/restaurant/c3za/pizzerie-u-certu,Denní menu,120g Masová pikantní směs s domácími bramboráčky," 129,00 Kč"
7,liberec,/restaurant/c3za/pizzerie-u-certu,Denní menu,120g Kuřecí nudličky na žampionech se smetanou," 122,00 Kč"
8,liberec,/restaurant/c3za/pizzerie-u-certu,Denní menu,120g Smažený holandský řízek s mačkanými slaninovými brambory," 122,00 Kč"
9,liberec,/restaurant/c3za/pizzerie-u-certu,Denní menu,Pečené buřty na černém pivu s pečivem," 68,00 Kč"
10,liberec,/restaurant/c3za/pizzerie-u-certu,Pivo,"Svijansky Vozka lahev 0,5l"," 28,00 Kč"
11,liberec,/restaurant/c3za/pizzerie-u-certu,Pivo,"0,5l Svijansky Vozka Cerny rybiz a limetka svetle ochucene nealkoholicke pivo"," 45,00 Kč"
12,liberec,/restaurant/c3za/pizzerie-u-certu,Pasta Čerstvé těstoviny,Spaghetti aglio e olio peperoncino," 150,00 Kč"
13,liberec,/restaurant/c3za/pizzerie-u-certu,Pasta Čerstvé těstoviny,Spaghetti Toscana," 194,00 Kč"
14,liberec,/restaurant/c3za/pizzerie-u-certu,Víno k dobrému jídlu,"""Vilage"" Rulandské šedé"," 460,00 Kč"
15,liberec,/restaurant/c3za/pizzerie-u-certu,Víno k dobrému jídlu,Veltlínské zelené," 460,00 Kč"
16,liberec,/restaurant/c3za/pizzerie-u-certu,Víno k dobrému jídlu,Chardonnay," 520,00 Kč"
17,liberec,/restaurant/c3za/pizzerie-u-certu,Víno k dobrému jídlu,Pálava," 540,00 Kč"
18,liberec,/restaurant/c3za/pizzerie-u-certu,Víno k dobrému jídlu,"Sauvignon ""Classic"""," 570,00 Kč"
19,liberec,/restaurant/c3za/pizzerie-u-certu,Víno k dobrému jídlu,Svatovavřinecké rosé," 460,00 Kč"
20,liberec,/restaurant/c3za/pizzerie-u-certu,Víno k dobrému jídlu,Frankovka," 490,00 Kč"
21,liberec,/restaurant/c3za/pizzerie-u-certu,Víno k dobrému jídlu,Cabernet Sauvignon Pays d´oc," 460,00 Kč"
22,liberec,/restaurant/c3za/pizzerie-u-certu,Gnocchi Bramborové noky,Gnocchi con polo e spinaci," 199,00 Kč"
23,liberec,/restaurant/c3za/pizzerie-u-certu,Gnocchi Bramborové noky,Gnocchi misto verdure," 167,00 Kč"
24,liberec,/restaurant/c3za/pizzerie-u-certu,Gnocchi Bramborové noky,Gnocchi E Funghi porcini," 199,00 Kč"
25,liberec,/restaurant/c3za/pizzerie-u-certu,Nabídka pro dnešní den,"500g Pečená barbecue žebra  s čerstvým křenem, cibulí, hořčicí, okurkou a pečivem "," 200,00 Kč"
26,liberec,/restaurant/c3za/pizzerie-u-certu,Nabídka pro dnešní den,"1ks Pečené vepřové koleno  s čerstvým křenem, cibulí, hořčicí, okurkou a pečivem "," 240,00 Kč"
27,liberec,/restaurant/c3za/pizzerie-u-certu,Z pece od Čertů,Luciferova barbecue žebra," 280,00 Kč"
28,liberec,/restaurant/c3za/pizzerie-u-certu,Z pece od Čertů,Ďáblova vepřová caribbean jeark žebra," 280,00 Kč"
29,liberec,/restaurant/c3za/pizzerie-u-certu,Z pece od Čertů,Pečené vepřové koleno," 240,00 Kč"
30,liberec,/restaurant/c3za/pizzerie-u-certu,Z pece od Čertů,Vepřový bůček z pece," 150,00 Kč"
31,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Dušená šunka," 30,00 Kč"
32,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Klobása," 30,00 Kč"
33,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Tuňák," 40,00 Kč"
34,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Salám," 30,00 Kč"
35,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Kuřecí maso," 50,00 Kč"
36,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Vejce," 10,00 Kč"
37,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Pomodoro," 5,00 Kč"
38,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Mascarpone," 30,00 Kč"
39,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Gorgonzola," 40,00 Kč"
40,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Mozzarella," 20,00 Kč"
41,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Hermelín," 50,00 Kč"
42,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Čerstvá rucola," 10,00 Kč"
43,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Čerstvá rajčata," 10,00 Kč"
44,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Žampiony," 15,00 Kč"
45,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Olivy zelené," 10,00 Kč"
46,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Olivy černé," 10,00 Kč"
47,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Cibule," 5,00 Kč"
48,liberec,/restaurant/c3za/pizzerie-u-certu,Extra na Pizzu,Kukuřice," 10,00 Kč"
49,liberec,/restaurant/c3za/pizzerie-u-certu,Balený příbor,"Balený plastový příbor (vidlička, nůž, ubrousek)"," 20,00 Kč"
50,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,500ml Pomalu vareny vyvar z krutich krku se zeleninou a domacimi nudlemi," 65,00 Kč"
51,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,Pasirovana svickova na smetane s houskovym knedlikem," 182,00 Kč"
52,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,Hovezi gulas s cerstvym krenem a cibulkou se spekovym knedlikem," 170,00 Kč"
53,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,"300g Grilovana veprova krkovice podavana s horcici, cerstvym krenem, cibuli, okurkou"," 197,00 Kč"
54,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,Smazeny veprovy rizek na prepustenem masle s petzelkovym bramborem," 180,00 Kč"
55,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,"Smazene kureci spicky v kukuricne strouhance s mackanymi brambory s cibulkou, slaninou"," 175,00 Kč"
56,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,Pikantni masova smes se smazenymi bramborovymi hranolky," 170,00 Kč"
57,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,Brynzove halusky," 165,00 Kč"
58,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,Slovenske halusky," 154,00 Kč"
59,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,1kg Smazene kureci mini rizecky," 495,00 Kč"
60,liberec,/restaurant/c3za/pizzerie-u-certu,Luciferova tabule od Čertů,1kg Hovezi tatarak s cesnekovymi topinkami," 1 900,00 Kč"
61,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,1.Pikantní polévka," 30,00 Kč"
62,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,2.Kuřecí polévka s bambusem a houbami," 30,00 Kč"
63,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,3.Kuřecí polévka s kukuřicí," 35,00 Kč"
64,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,4.Thajská polévka s krevetami," 45,00 Kč"
65,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,6.Čínský salát," 35,00 Kč"
66,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,7.Kuřecí salát," 59,00 Kč"
67,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,8.Gyros se salátem," 89,00 Kč"
68,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,9.Mini závitky," 45,00 Kč"
69,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,10.Smažené Vietnamské závitky," 79,00 Kč"
70,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,11.Smažená krabí stehna," 65,00 Kč"
71,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,12.Smažené krevety," 65,00 Kč"
72,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,300.Sezamový sladky kuličky," 65,00 Kč"
73,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,301-Hranolky," 35,00 Kč"
74,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,302-Krokety," 40,00 Kč"
75,liberec,/restaurant/r7pt/qin-asia,Polévky Saláty a předkrmy,303-Tatarska," 10,00 Kč"
76,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",109.Smažené nudle se zeleninou," 90,00 Kč"
77,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",64.Smažené nudle s kuřecím masem," 100,00 Kč"
78,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",65.Smažené nudle s krevetami," 110,00 Kč"
79,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",68.Smažené nudle s kuřecím masem po Thajsku," 105,00 Kč"
80,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",66.Gyros s nudlemi a omacka," 105,00 Kč"
81,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",67.Gyros s nudlemi a sýrovou omáčkou," 109,00 Kč"
82,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",110.Smažené rýžové nudle se zeleninou," 95,00 Kč"
83,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",69.Smažené rýžové nudle s kuřecím masem," 105,00 Kč"
84,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",70.Smažené rýžové nudle s krevetami," 115,00 Kč"
85,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",71.Smažené rýžové nudle s kuřecím masem po thajsku," 110,00 Kč"
86,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",72.Smažená rýže s kuřecím masem," 100,00 Kč"
87,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",74.Smažená rýže s kuřecím masem na kari," 100,00 Kč"
88,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",75.Smažená rýže s kuřecím masem po thajsku," 105,00 Kč"
89,liberec,/restaurant/r7pt/qin-asia,"Smažené rýže, nudle",73.Smažená rýže s krevetami," 110,00 Kč"
90,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S1.Krevety maki," 85,00 Kč"
91,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S2.Krabí maki," 65,00 Kč"
92,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S3.Úhoř maki," 85,00 Kč"
93,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S4.Losos maki," 75,00 Kč"
94,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S5.Tuňák maki," 85,00 Kč"
95,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S6.Okurka maki," 65,00 Kč"
96,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S7.Ředkev maki," 65,00 Kč"
97,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S8.Avokádo maki," 75,00 Kč"
98,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S9.Kuře maki," 75,00 Kč"
99,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S10.Tuňák nigiri," 60,00 Kč"
100,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S11.Krabí nigiri," 40,00 Kč"
101,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S12.Avokádo nigir," 50,00 Kč"
102,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S13.Losos nigiri," 50,00 Kč"
103,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S14.Krevety nigiri," 50,00 Kč"
104,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S15.Úhoř nigiri," 60,00 Kč"
105,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S16.Sébie nigiri," 50,00 Kč"
106,liberec,/restaurant/r7pt/qin-asia,Sushi maki&nigiri,S17.Chobotnice nigiri," 50,00 Kč"
107,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,100.Futo maki," 179,00 Kč"
108,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,101.Ebi Futo maki," 179,00 Kč"
109,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,102.Vegetariánské Futo maki," 169,00 Kč"
110,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,103.Vegetariánské california," 159,00 Kč"
111,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,104.Vegetariánské set," 219,00 Kč"
112,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S20.French kiss roll," 189,00 Kč"
113,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S21.California maki," 169,00 Kč"
114,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S22.Ebi california," 169,00 Kč"
115,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S23.Unagi roll," 259,00 Kč"
116,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S24.Sake roll," 259,00 Kč"
117,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S25.Tropical maki," 119,00 Kč"
118,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S26..California sezam," 179,00 Kč"
119,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S27.Maki sushi set," 179,00 Kč"
120,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S28.Maki sushi set," 199,00 Kč"
121,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S29.California set," 229,00 Kč"
122,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S30.Nigiri a maki set," 199,00 Kč"
123,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S31.Sake set," 199,00 Kč"
124,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S32.Sushi set," 269,00 Kč"
125,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S33A.Sushi set," 439,00 Kč"
126,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S33B.Sushi set," 439,00 Kč"
127,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S34A.Sushi set," 799,00 Kč"
128,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S34B.Sushi set," 799,00 Kč"
129,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S35.Nigiri set," 249,00 Kč"
130,liberec,/restaurant/r7pt/qin-asia,Sushi MenuSet,S36.Nigiri set," 269,00 Kč"
131,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,33.Kuře s bambusem a houbami s rýží," 120,00 Kč"
132,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,34.Kuře Kung pao s rýží," 120,00 Kč"
133,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,35.Kuře po sečuánsku s rýží," 120,00 Kč"
134,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,36.Voňavé a křehké kuře s rýží," 125,00 Kč"
135,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,37.Kuře se žampiony s rýží," 120,00 Kč"
136,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,38.Kuřecí maso Hai-Xian omáčka s rýží," 125,00 Kč"
137,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,39.Kuře pěti vůní s rýží," 120,00 Kč"
138,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,40.Kuře tajemné chuti s rýží," 120,00 Kč"
139,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,41.Kuře ve sladkokyselé omáčce s rýží," 120,00 Kč"
140,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,42.Kuře po thajsku s rýží," 125,00 Kč"
141,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,43.Kuře s cibulí a s rýží," 125,00 Kč"
142,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,44.Kuře s červeným kari s rýží," 129,00 Kč"
143,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,76.Kuře HongKong s rýží," 129,00 Kč"
144,liberec,/restaurant/r7pt/qin-asia,Kuřecí speciality,79.Kuře teriyaki s rýží," 129,00 Kč"
145,liberec,/restaurant/r7pt/qin-asia,Vepřové speciality,45.Vepřové s bambusem a houbami s rýží," 120,00 Kč"
146,liberec,/restaurant/r7pt/qin-asia,Vepřové speciality,111.Vepřové Kung pao s rýží," 120,00 Kč"
147,liberec,/restaurant/r7pt/qin-asia,Vepřové speciality,46.Vepřové po sečuánsku s rýží," 120,00 Kč"
148,liberec,/restaurant/r7pt/qin-asia,Vepřové speciality,112.Vepřové po thajsku s rýží," 125,00 Kč"
149,liberec,/restaurant/r7pt/qin-asia,Vepřové speciality,47.Osm pokladů v pálivé omáčce s rýží," 129,00 Kč"
150,liberec,/restaurant/r7pt/qin-asia,Vepřové speciality,77.Vepřové HongKong s rýží," 129,00 Kč"
151,liberec,/restaurant/r7pt/qin-asia,Hovězí speciality,52.Hovězí s bambusem a houbami s rýží," 135,00 Kč"
152,liberec,/restaurant/r7pt/qin-asia,Hovězí speciality,53.Hovězí po sečuánsku s rýží," 135,00 Kč"
153,liberec,/restaurant/r7pt/qin-asia,Hovězí speciality,54.Hovězí s cibulí s rýží," 139,00 Kč"
154,liberec,/restaurant/r7pt/qin-asia,Hovězí speciality,55.Hovězí s brokolicí s rýží," 139,00 Kč"
155,liberec,/restaurant/r7pt/qin-asia,Hovězí speciality,56.Hovězí po thajsku s rýží," 139,00 Kč"
156,liberec,/restaurant/r7pt/qin-asia,Hovězí speciality,57.Hovězí s černým pepřem a rýží," 145,00 Kč"
157,liberec,/restaurant/r7pt/qin-asia,Hovězí speciality,78.Hovězí HongKong s rýží," 145,00 Kč"
158,liberec,/restaurant/r7pt/qin-asia,Hovězí speciality,80.Hovězí teriyaki s rýží," 145,00 Kč"
159,liberec,/restaurant/r7pt/qin-asia,Kachní speciality,48.Kachna s bambusem a houbami s rýží," 155,00 Kč"
160,liberec,/restaurant/r7pt/qin-asia,Kachní speciality,113.Kachna Kung pao s rýží," 155,00 Kč"
161,liberec,/restaurant/r7pt/qin-asia,Kachní speciality,49.Kachna  po sečuánsku s rýží," 155,00 Kč"
162,liberec,/restaurant/r7pt/qin-asia,Kachní speciality,50.Voňavá a křehká kachna s rýží," 155,00 Kč"
163,liberec,/restaurant/r7pt/qin-asia,Kachní speciality,51.Kachna po Thajsku s rýží," 155,00 Kč"
164,liberec,/restaurant/r7pt/qin-asia,Kachní speciality,81.Kachna teriyaki s rýží," 160,00 Kč"
165,liberec,/restaurant/r7pt/qin-asia,Vegetariánské speciality,63.Míchaná zelenina s rýží," 99,00 Kč"
166,liberec,/restaurant/r7pt/qin-asia,Vegetariánské speciality,61.Toufu s bambusem a houbami s rýží," 109,00 Kč"
167,liberec,/restaurant/r7pt/qin-asia,Vegetariánské speciality,107.Tofu Kung pao s rýží," 109,00 Kč"
168,liberec,/restaurant/r7pt/qin-asia,Vegetariánské speciality,62.Tofu po sečuánsku s rýží," 109,00 Kč"
169,liberec,/restaurant/r7pt/qin-asia,Vegetariánské speciality,108.Tofu po Thajsku s rýží," 109,00 Kč"
170,liberec,/restaurant/r7pt/qin-asia,Vegetariánské speciality,109.Smažené nudle se zeleninou," 90,00 Kč"
171,liberec,/restaurant/r7pt/qin-asia,Vegetariánské speciality,110.Smažené rýžové nudle se zeleninou," 95,00 Kč"
172,liberec,/restaurant/r7pt/qin-asia,Krevety speciality,58.Krevety s bambusem a houbami s rýží," 155,00 Kč"
173,liberec,/restaurant/r7pt/qin-asia,Krevety speciality,59.Krevety po sečuánsku s rýží," 155,00 Kč"
174,liberec,/restaurant/r7pt/qin-asia,Krevety speciality,114.Krevety Kung pao s rýží," 155,00 Kč"
175,liberec,/restaurant/r7pt/qin-asia,Krevety speciality,60.Krevety po thajsku s rýží," 155,00 Kč"
176,liberec,/restaurant/r7pt/qin-asia,Hamburgery a Gyros speciality,19.Hamburger s kuřecím masem," 45,00 Kč"
177,liberec,/restaurant/r7pt/qin-asia,Hamburgery a Gyros speciality,20.Hamburger se sýrem," 50,00 Kč"
178,liberec,/restaurant/r7pt/qin-asia,Hamburgery a Gyros speciality,21.Hamburger s gyrosem," 50,00 Kč"
179,liberec,/restaurant/r7pt/qin-asia,Hamburgery a Gyros speciality,8.Gyros se salátem," 89,00 Kč"
180,liberec,/restaurant/r7pt/qin-asia,Hamburgery a Gyros speciality,22.Gyros bageta," 79,00 Kč"
181,liberec,/restaurant/r7pt/qin-asia,Hamburgery a Gyros speciality,23.GyrosTortilla," 99,00 Kč"
182,liberec,/restaurant/r7pt/qin-asia,Hamburgery a Gyros speciality,29.Gyros s hranolkami tatarská omáčka," 105,00 Kč"
183,liberec,/restaurant/r7pt/qin-asia,Hamburgery a Gyros speciality,66.Gyros s nudlemi a omacka," 105,00 Kč"
184,liberec,/restaurant/r7pt/qin-asia,Hamburgery a Gyros speciality,67.Gyros s nudlemi a sýrovou omáčkou," 109,00 Kč"
185,liberec,/restaurant/r7pt/qin-asia,Smažené a Grilované,25.Smažené kuřecí kousky s hranolkami a omacka," 105,00 Kč"
186,liberec,/restaurant/r7pt/qin-asia,Smažené a Grilované,26.Smažené kuřecí nugety s hranolkami tatarská omáčka," 105,00 Kč"
187,liberec,/restaurant/r7pt/qin-asia,Smažené a Grilované,27.Kuřecí řízek s hranolkami tatarská omáčka," 105,00 Kč"
188,liberec,/restaurant/r7pt/qin-asia,Smažené a Grilované,28.Smažený sýr s hranolkami tatarská omáčka," 105,00 Kč"
189,liberec,/restaurant/r7pt/qin-asia,Smažené a Grilované,30.Grilované kuřecí maso s nudlemi a sýrovou omáčkou," 109,00 Kč"
190,liberec,/restaurant/r7pt/qin-asia,Smažené a Grilované,31.Grilovaný kuřecí steak s nudlemi a omacka," 115,00 Kč"
191,liberec,/restaurant/r7pt/qin-asia,Smažené a Grilované,32.Smažené nudle s grilovanými krevetami a omacka," 159,00 Kč"
192,liberec,/restaurant/r7pt/qin-asia,Nápoje,200.Coca-Cola (330ml)," 35,00 Kč"
193,liberec,/restaurant/r7pt/qin-asia,Nápoje,201.Fanta (330ml)," 35,00 Kč"
194,liberec,/restaurant/r7pt/qin-asia,Nápoje,202.Sprite (330ml)," 35,00 Kč"
195,liberec,/restaurant/r7pt/qin-asia,Nápoje,203.Meloun džus (330ml)," 35,00 Kč"
196,liberec,/restaurant/r7pt/qin-asia,Nápoje,204.Kaktus džus (330ml)," 35,00 Kč"
197,liberec,/restaurant/r7pt/qin-asia,Nápoje,205.Mango džus (330ml)," 35,00 Kč"
198,liberec,/restaurant/r7pt/qin-asia,Nápoje,206.Liči džus (330ml)," 35,00 Kč"
199,liberec,/restaurant/r7pt/qin-asia,Nápoje,208.Jahoda džus (330ml)," 35,00 Kč"
200,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,1a Phở bò chín," 139,00 Kč"
201,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,1b Phở bò tái," 139,00 Kč"
202,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,2a Phở gà," 119,00 Kč"
203,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,3 Bún bò nam bộ,"od  129,00 Kč"
204,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,4  Bún chả," 139,00 Kč"
205,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,5  Bún nem," 119,00 Kč"
206,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,6 a   Bún xào,"od  119,00 Kč"
207,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,7  Phở xào,"od  129,00 Kč"
208,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,8  Mỳ xào,"od  119,00 Kč"
209,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,9  Cơm thịt bò xào," 139,00 Kč"
210,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,10  Cơm rang,"od  119,00 Kč"
211,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,11  Nem rán  / ks," 30,00 Kč"
212,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,12  Nem cuốn sống  /ks," 39,00 Kč"
213,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,6b Miến xào,"od  119,00 Kč"
214,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,13  Kungpao ,"od  119,00 Kč"
215,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,17  Mì udon,"od  149,00 Kč"
216,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,22  BÚN ngan nướng ," 159,00 Kč"
217,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,24  Kachna s bambusem a houbami  s rýži ," 159,00 Kč"
218,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,23  Voňavá a křehká kachna s rýži ," 159,00 Kč"
219,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,20  Cơm bò xào lăn ," 129,00 Kč"
220,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,"26  Vepřové ,kuřecí, hovězí  NUDLIČKY V PEKINGSKÉ OMÁČCE  s rýži ","od  129,00 Kč"
221,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,Tofu,"od  119,00 Kč"
222,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,27  Kuřecí kousky ve sladkokyselé omačse s rýži ,"od  119,00 Kč"
223,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,28  Voňavé a křehké kuře s rýži ," 119,00 Kč"
224,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,29  Kuřecí řízek ,"od  109,00 Kč"
225,liberec,/restaurant/ns4q/mam-mam-vietnamese-cuisine,Menu,33  Polévka ,"od  40,00 Kč"
226,liberec,/restaurant/d6or/qin-sushi,"Polévky,Saláty a předkrmy",1.Pikantní polévka," 30,00 Kč"
